date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:30	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:30%20GMT	https://coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Regular.eot?	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Regular.2dd41d.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:32	217276/217276	---M--	200	added ('OK')	application/octet-stream	etag:%220c94e8c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Regular.ttf	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Regular.ttf	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:32	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:31%20GMT	https://coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.eot	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.2f.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:33	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:33%20GMT	https://coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.eot?	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.30d41d.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:35	224452/224452	---M--	200	added ('OK')	application/octet-stream	etag:%220c94e8c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.ttf	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/open-sans/OpenSans-Bold.ttf	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:35	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.eot	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.eot	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:35	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.eot?	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:36	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.woff2	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.woff2	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:37	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.woff	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.woff	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:38	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.ttf	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.ttf	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
